scope,outer_fold,stage,configuration_id,feature_family,specialist,c_value,source_group_exponent,inference_cost_rank,is_exact_reference,eligible,eligibility_failures,robustness_rank,eligible_selection_rank,selected,evaluated_examples,fit_count,maximum_iterations,accuracy,macro_f1,balanced_accuracy,source_group_balanced_accuracy,ceramic_worst_group_recall,robustness_score,minimum_fold_source_group_balanced_accuracy,per_class_recall_json,per_class_group_recall_json
outer_inner_oof,2,base,three_view_cls_logit_ensemble__c100__source0p5,three_view_cls_logit_ensemble,none,100.0,0.5,8,False,True,,1,1,True,1423,12,121,0.9276177090653549,0.924650961028666,0.9371302466249276,0.8867370470492494,0.56773031004947,0.6922499789308818,0.8970581813667791,"{""01_opishnyan_ceramics"":0.851063829787234,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.9,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.56773031004947,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9263285024154589,""04_petrykivka_painting"":0.9782480893592005,""05_kosiv_ceramics"":0.9757875553241343}"
outer_inner_oof,2,specialist,three_view_cls_logit_ensemble__c100__source0p5__specialist_none,three_view_cls_logit_ensemble,none,100.0,0.5,8,False,True,,1,1,True,1423,12,121,0.9276177090653549,0.924650961028666,0.9371302466249276,0.8867370470492494,0.56773031004947,0.6922499789308818,0.8970581813667791,"{""01_opishnyan_ceramics"":0.851063829787234,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.9,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.56773031004947,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9263285024154589,""04_petrykivka_painting"":0.9782480893592005,""05_kosiv_ceramics"":0.9757875553241343}"
outer_inner_oof,2,specialist,three_view_cls_logit_ensemble__c100__source0p5__specialist_three_way_conditional,three_view_cls_logit_ensemble,three_way_conditional,100.0,0.5,8,False,True,,2,2,False,1423,12,84,0.9262122276879832,0.9234994869605309,0.9362791827951403,0.8865038079580897,0.5665641145936713,0.6913114483425692,0.8967836856035614,"{""01_opishnyan_ceramics"":0.8468085106382979,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.9,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.5665641145936713,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9263285024154589,""04_petrykivka_painting"":0.9782480893592005,""05_kosiv_ceramics"":0.9757875553241343}"
outer_inner_oof,3,base,global_cls__c10__source0,global_cls,none,10.0,0.0,6,True,True,,9,8,False,1351,4,89,0.9370836417468542,0.9370879608496828,0.9479975133478382,0.8749616205141239,0.5072921690581664,0.6422281952297657,0.8706230459090871,"{""01_opishnyan_ceramics"":0.8387909319899244,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.9532163742690059,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9910714285714286}","{""01_opishnyan_ceramics"":0.5072921690581664,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9166666666666666,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9941046425939573}"
outer_inner_oof,3,base,global_cls__c10__source0p5,global_cls,none,10.0,0.5,6,False,True,,5,5,False,1351,4,82,0.9385640266469282,0.9385338991253324,0.9468292655684939,0.8892040012897182,0.5863635132643303,0.7067067783238882,0.8918546964640459,"{""01_opishnyan_ceramics"":0.8564231738035264,""02_ornek"":0.9829059829059829,""03_bubnivka_ceramics"":0.9415204678362573,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9821428571428571}","{""01_opishnyan_ceramics"":0.5863635132643303,""02_ornek"":0.9827089337175793,""03_bubnivka_ceramics"":0.9229885057471264,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9828052075657087}"
outer_inner_oof,3,base,global_cls__c100__source0,global_cls,none,100.0,0.0,6,False,True,,4,4,False,1351,4,104,0.9407846039970392,0.9420393103492206,0.9513632439648282,0.8951413855836228,0.578768067342465,0.7030001045233405,0.8934929496060585,"{""01_opishnyan_ceramics"":0.8463476070528967,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.9532163742690059,""04_petrykivka_painting"":0.9759615384615384,""05_kosiv_ceramics"":0.9955357142857143}","{""01_opishnyan_ceramics"":0.578768067342465,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.935632183908046,""04_petrykivka_painting"":0.9759615384615384,""05_kosiv_ceramics"":0.9997543601080816}"
outer_inner_oof,3,base,global_cls__c100__source0p5,global_cls,none,100.0,0.5,6,False,True,,2,2,False,1351,4,102,0.9437453737971873,0.9448574435596653,0.9528472485601611,0.8961961429210572,0.5831514601430213,0.7065521155899976,0.8946983440445356,"{""01_opishnyan_ceramics"":0.8564231738035264,""02_ornek"":0.9886039886039886,""03_bubnivka_ceramics"":0.9473684210526315,""04_petrykivka_painting"":0.9807692307692307,""05_kosiv_ceramics"":0.9910714285714286}","{""01_opishnyan_ceramics"":0.5831514601430213,""02_ornek"":0.9884726224783862,""03_bubnivka_ceramics"":0.9344827586206896,""04_petrykivka_painting"":0.9807692307692307,""05_kosiv_ceramics"":0.9941046425939573}"
outer_inner_oof,3,base,letterbox_cls_patch__c10__source0,letterbox_cls_patch,none,10.0,0.0,1,False,False,macro_f1_drop,12,,False,1351,4,109,0.8897113249444856,0.8922751107241437,0.9106162195516564,0.8429681492592659,0.4070898981921672,0.5490366127570193,0.8586429208147859,"{""01_opishnyan_ceramics"":0.7178841309823678,""02_ornek"":0.9658119658119658,""03_bubnivka_ceramics"":0.9298245614035088,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9732142857142857}","{""01_opishnyan_ceramics"":0.4070898981921672,""02_ornek"":0.9654178674351584,""03_bubnivka_ceramics"":0.8990769766631835,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9769098501596659}"
outer_inner_oof,3,base,letterbox_cls_patch__c10__source0p5,letterbox_cls_patch,none,10.0,0.5,1,False,False,macro_f1_drop|ornek_recall_drop,10,,False,1351,4,105,0.9030347890451518,0.9046035371904718,0.9161768005613291,0.8516175887319987,0.49106654155915247,0.6229326683691173,0.8688719094354056,"{""01_opishnyan_ceramics"":0.7808564231738035,""02_ornek"":0.9629629629629629,""03_bubnivka_ceramics"":0.9064327485380117,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9642857142857143}","{""01_opishnyan_ceramics"":0.49106654155915247,""02_ornek"":0.962536023054755,""03_bubnivka_ceramics"":0.8617206548241031,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9764185703758291}"
outer_inner_oof,3,base,letterbox_cls_patch__c100__source0,letterbox_cls_patch,none,100.0,0.0,1,False,False,macro_f1_drop,11,,False,1351,4,124,0.8911917098445595,0.8950640884339747,0.9112710350091036,0.8497881093417824,0.4454318532440004,0.5844917517378918,0.8654895104895106,"{""01_opishnyan_ceramics"":0.7178841309823678,""02_ornek"":0.9715099715099715,""03_bubnivka_ceramics"":0.9181286549707602,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.4454318532440004,""02_ornek"":0.9711815561959655,""03_bubnivka_ceramics"":0.8786137234413096,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9825595676737903}"
outer_inner_oof,3,base,letterbox_cls_patch__c100__source0p5,letterbox_cls_patch,none,100.0,0.5,1,False,False,macro_f1_drop,8,,False,1351,4,119,0.9052553663952627,0.9075809460262642,0.9201770111164583,0.8653193676287341,0.526762822491368,0.6548723569392577,0.8805787126753897,"{""01_opishnyan_ceramics"":0.7682619647355163,""02_ornek"":0.9715099715099715,""03_bubnivka_ceramics"":0.9122807017543859,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.526762822491368,""02_ornek"":0.9711815561959655,""03_bubnivka_ceramics"":0.8749390456287008,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9825595676737903}"
outer_inner_oof,3,base,three_view_cls_logit_ensemble__c10__source0,three_view_cls_logit_ensemble,none,10.0,0.0,8,False,True,,7,7,False,1351,12,92,0.9289415247964471,0.9294149606706451,0.9404711592891031,0.875694462882912,0.542501292029799,0.6699574101694595,0.8873087647960924,"{""01_opishnyan_ceramics"":0.8287153652392947,""02_ornek"":0.9743589743589743,""03_bubnivka_ceramics"":0.9415204678362573,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9866071428571429}","{""01_opishnyan_ceramics"":0.542501292029799,""02_ornek"":0.9740634005763689,""03_bubnivka_ceramics"":0.9022988505747126,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.988454925079833}"
outer_inner_oof,3,base,three_view_cls_logit_ensemble__c10__source0p5,three_view_cls_logit_ensemble,none,10.0,0.5,8,False,True,,6,6,False,1351,12,92,0.9370836417468542,0.9372480377139574,0.945755686661162,0.8895629228349984,0.585635887748929,0.7062912039859834,0.8903872597563346,"{""01_opishnyan_ceramics"":0.853904282115869,""02_ornek"":0.98005698005698,""03_bubnivka_ceramics"":0.9415204678362573,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9821428571428571}","{""01_opishnyan_ceramics"":0.585635887748929,""02_ornek"":0.9798270893371758,""03_bubnivka_ceramics"":0.9229885057471264,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9882092851879145}"
outer_inner_oof,3,base,three_view_cls_logit_ensemble__c100__source0,three_view_cls_logit_ensemble,none,100.0,0.0,8,False,True,,3,3,False,1351,12,116,0.9393042190969653,0.9404727165181382,0.9500326307167086,0.895217931865379,0.5819186718849669,0.7053430652738114,0.8942448293053065,"{""01_opishnyan_ceramics"":0.8413098236775819,""02_ornek"":0.9886039886039886,""03_bubnivka_ceramics"":0.9532163742690059,""04_petrykivka_painting"":0.9759615384615384,""05_kosiv_ceramics"":0.9910714285714286}","{""01_opishnyan_ceramics"":0.5819186718849669,""02_ornek"":0.9884726224783862,""03_bubnivka_ceramics"":0.935632183908046,""04_petrykivka_painting"":0.9759615384615384,""05_kosiv_ceramics"":0.9941046425939573}"
outer_inner_oof,3,base,three_view_cls_logit_ensemble__c100__source0p5,three_view_cls_logit_ensemble,none,100.0,0.5,8,False,True,,1,1,True,1351,12,118,0.9415247964470762,0.9424770213368809,0.9506040790095543,0.8936572063353797,0.5848328744686018,0.7069917066829373,0.8949489706109516,"{""01_opishnyan_ceramics"":0.853904282115869,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.9415204678362573,""04_petrykivka_painting"":0.9807692307692307,""05_kosiv_ceramics"":0.9910714285714286}","{""01_opishnyan_ceramics"":0.5848328744686018,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9229885057471264,""04_petrykivka_painting"":0.9807692307692307,""05_kosiv_ceramics"":0.9941046425939573}"
outer_inner_oof,3,specialist,three_view_cls_logit_ensemble__c100__source0p5__specialist_none,three_view_cls_logit_ensemble,none,100.0,0.5,8,False,True,,1,1,True,1351,12,118,0.9415247964470762,0.9424770213368809,0.9506040790095543,0.8936572063353797,0.5848328744686018,0.7069917066829373,0.8949489706109516,"{""01_opishnyan_ceramics"":0.853904282115869,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.9415204678362573,""04_petrykivka_painting"":0.9807692307692307,""05_kosiv_ceramics"":0.9910714285714286}","{""01_opishnyan_ceramics"":0.5848328744686018,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9229885057471264,""04_petrykivka_painting"":0.9807692307692307,""05_kosiv_ceramics"":0.9941046425939573}"
outer_inner_oof,3,specialist,three_view_cls_logit_ensemble__c100__source0p5__specialist_three_way_conditional,three_view_cls_logit_ensemble,three_way_conditional,100.0,0.5,8,False,True,,2,2,False,1351,12,76,0.9378238341968912,0.9391118263235387,0.9474193750161535,0.8912488866856808,0.58428552909367,0.7058375890693677,0.8949489706109516,"{""01_opishnyan_ceramics"":0.8438287153652393,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.935672514619883,""04_petrykivka_painting"":0.9807692307692307,""05_kosiv_ceramics"":0.9910714285714286}","{""01_opishnyan_ceramics"":0.58428552909367,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9114942528735632,""04_petrykivka_painting"":0.9807692307692307,""05_kosiv_ceramics"":0.9941046425939573}"
